1|2009-01-01|Added|
2|2015-01-01|Added|
3|2015-01-01|Added|
4|2015-01-01|Added|
5|2015-01-01|Added|
6|2015-01-01|Added|
7|2015-01-01|Added|
8|2015-01-01|Added|
9|2015-01-01|Added|
10|2015-01-01|Added|
11|2015-01-01|Added|
12|2015-01-01|Added|
100|2015-01-01|Added|
101|2015-01-01|Added|
102|2015-01-01|Added|
103|2015-01-01|Added|
1265|2015-01-01|Added|
1266|2015-01-01|Added|
1267|2015-01-01|Added|
1268|2015-01-01|Added|
100|2018-05-01|Borrowed|
4|2018-06-01|Borrowed|
1|2018-11-27|Borrowed|
70|2018-11-28|Deleted|
3|2018-11-28|Returned|
1|2018-12-03|Borrowed|
1|2018-12-12|Returned|
3|2018-12-12|Returned|
1|2018-12-12|Borrowed|
1|2018-12-12|Returned|
1|2018-12-12|Borrowed|
1|2018-12-12|Returned|
1|2018-12-12|Borrowed|
1|2018-12-12|Returned|
1|2018-12-12|Borrowed|
1|2018-12-12|Returned|
